idx,count
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,1
2268,0
2269,0
2270,0
2271,0
2272,1
2273,0
2274,0
2275,0
2276,0
2277,1
2278,1
2279,1
2280,0
2281,0
2282,0
2283,0
2284,1
2285,0
2286,1
2287,2
2288,1
2289,1
2290,1
2291,1
2292,2
2293,0
2294,0
2295,0
2296,1
2297,1
2298,1
2299,0
2300,0
2301,0
2302,0
2303,0
2304,1
2305,0
2306,1
2307,0
2308,1
2309,0
2310,1
2311,0
2312,1
2313,1
2314,1
2315,2
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,1
2324,0
2325,0
2326,1
2327,0
2328,0
2329,3
2330,0
2331,0
2332,1
2333,0
2334,0
2335,1
2336,0
2337,0
2338,1
2339,1
2340,2
2341,1
2342,1
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,2
2351,1
2352,1
2353,0
2354,0
2355,1
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,1
2364,0
2365,0
2366,0
2367,0
2368,1
2369,0
2370,0
2371,0
2372,0
2373,1
2374,1
2375,3
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,1
2388,0
2389,1
2390,2
2391,0
2392,1
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,1
2402,0
2403,0
2404,0
2405,1
2406,0
2407,0
2408,0
2409,1
2410,0
2411,1
2412,1
2413,0
2414,0
2415,0
2416,0
2417,1
2418,0
2419,0
2420,0
2421,0
2422,0
2423,2
2424,0
2425,0
2426,1
2427,0
2428,1
2429,0
2430,0
2431,0
2432,0
2433,0
2434,1
2435,0
2436,1
2437,0
2438,0
2439,1
2440,1
2441,0
2442,1
2443,0
2444,0
2445,0
2446,1
2447,0
2448,1
2449,0
2450,1
2451,2
2452,0
2453,1
2454,2
2455,0
2456,0
2457,0
2458,0
2459,0
2460,1
2461,0
2462,1
2463,0
2464,1
2465,1
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,1
2480,1
2481,1
2482,0
2483,1
2484,0
2485,1
2486,1
2487,0
2488,0
2489,1
2490,1
2491,0
2492,1
2493,0
